Province,Year,GDP_100M_Yuan,GDP_Per_Capita,GDP_Index,Primary_Industry_Value_Added,Secondary_Industry_Value_Added,Tertiary_Industry_Value_Added,Agriculture_Forestry_Livestock_Fishery_Value_Added,Industrial_Value_Added,Construction_Value_Added,Wholesale_Retail_Value_Added,Real_Estate_Value_Added,Accommodation_Catering_Value_Added,Other_Industries_Value_Added,Total_Population,Gender_Ratio_Female_100,All_Residents_Per_Capita_Disposable_Income,Urban_Per_Capita_Disposable_Income,Rural_Per_Capita_Disposable_Income,All_Residents_Per_Capita_Consumption_Expenditure,Urban_Per_Capita_Consumption_Expenditure,Rural_Per_Capita_Consumption_Expenditure,Resident_Consumption,Urban_Resident_Consumption_100M_Yuan,Rural_Resident_Consumption_100M_Yuan,Resident_Consumption_Level_Yuan,Urban_Resident_Consumption_Level_Yuan,Rural_Resident_Consumption_Level_Yuan,Urban_Registered_Unemployment_10K_People,Urban_Registered_Unemployment_Rate,Consumer_Price_Index,Resident_Consumption_Level_Index,Urban_Consumption_Level_Index,Rural_Consumption_Level_Index,Local_Government_Budget_Revenue,Local_Government_Budget_Expenditure,Expenditure_Method_GDP,Income_Method_GDP,Final_Consumption,Gross_Fixed_Capital_Formation,Final_Consumption_Rate,Government_Consumption,Labor_Compensation,Fixed_Asset_Depreciation,Net_Production_Taxes,Inventory_Increase,Primary_Industry_Share,Secondary_Industry_Share,Tertiary_Industry_Share,Urban_Rural_Income_Ratio,Government_Expenditure_GDP_Ratio,GDP_Per_Capita_10K_Yuan,GDP_Growth_Rate,Unemployment_Rate_Per_10K
内蒙古自治区,2017,14898.1,61196.0,104.0,1649.8,5874.3,7374.0,1677.7,4672.0,1202.3,1303.0,735.3,318.7,3105.5,2433.0,100.79,26212.0,35670.0,12584.0,18946.0,23638.0,12184.0,6035.7,4660.9,1374.8,23909.0,29971.0,14184.0,27.1,3.6,101.7,104.3,102.7,106.9,1703.21,4529.93,16096.2,14898.1,8463.4,10391.9,52.6,2427.8,7376.8,2280.8,1789.8,-93.6,11.073895328934562,39.429860183513334,49.496244487552104,2.834551811824539,30.406092052006635,61.2334566378956,4.0,1.1138512124948625
内蒙古自治区,2018,16140.8,66491.0,105.2,1750.7,6335.4,8054.7,1779.8,5104.2,1231.2,1370.2,828.9,330.2,3519.2,2422.0,104.26,28376.0,38305.0,13803.0,19665.0,24437.0,12661.0,,,,,,,27.0,3.6,101.8,,,,1857.65,4831.46,,,,,,,,,,,10.846426447264076,39.2508425852498,49.90273096748613,2.775121350431066,29.93321272799366,66.64244426094137,5.200000000000003,1.1147811725846408
内蒙古自治区,2019,17212.5,71170.0,105.2,1863.3,6763.1,8586.1,1893.5,5458.6,1304.5,1448.3,892.2,361.5,3776.3,2415.0,106.68,30555.0,40782.0,15283.0,20743.0,25383.0,13816.0,,,,,,,28.1,3.7,102.4,,,,2059.69,5100.91,,,,,,,,,,,10.825272331154684,39.29179375453886,49.88293391430646,2.6684551462409214,29.634916485112562,71.27329192546584,5.200000000000003,1.163561076604555
北京市,2013,21134.6,100569.0,107.7,159.8,4168.3,16806.5,162.0,3336.6,872.0,2483.2,1731.5,413.1,8218.1,2125.0,107.62,40830.0,44564.0,17101.0,29176.0,31632.0,13564.0,6974.3,6466.3,508.1,33337.0,35836.0,17663.0,7.5,1.2,103.3,106.6,105.7,118.5,3661.11,4173.66,19500.6,21134.6,11946.1,7595.4,61.3,4971.8,10703.8,2972.1,3131.2,273.0,0.7561061008961609,19.722634920935338,79.5212589781685,2.6059294778083153,19.747996176885298,99.4569411764706,7.700000000000003,0.35294117647058826
北京市,2014,22926.0,106732.0,107.4,159.2,4433.0,18333.9,161.5,3522.8,952.7,2579.0,1745.2,404.4,9098.9,2171.0,102.24,44489.0,48532.0,18867.0,31103.0,33717.0,14535.0,7691.6,7094.6,597.0,36057.0,38515.0,20506.0,7.4,1.3,101.6,104.7,104.3,108.9,4027.16,4524.67,21330.8,22926.0,13329.2,7957.2,62.5,5637.6,11679.6,3099.8,3165.4,352.2,0.694405066714356,19.336040582567467,79.96955435071817,2.572322043780145,19.735976620430954,105.601105481345,7.400000000000006,0.3408567480423768
北京市,2015,24779.1,113692.0,106.9,140.4,4419.8,20218.9,142.8,3458.9,1002.6,2506.7,1899.2,441.7,10222.0,2188.0,109.45,48458.0,52859.0,20569.0,33803.0,36642.0,15811.0,8471.4,7818.2,653.2,39200.0,41846.0,22315.0,7.8,1.4,101.8,106.7,106.6,106.5,4723.86,5737.7,23014.6,24779.1,14503.6,8155.4,63.0,6032.2,13435.5,3454.9,3259.5,334.6,0.56660653534632,17.836806017974823,81.59658744667885,2.5698381058875004,23.15540112433462,113.25,6.900000000000006,0.35648994515539306
北京市,2016,27041.2,123391.0,106.9,129.8,4665.8,22245.7,132.2,3635.5,1074.5,2544.3,2241.2,447.0,11391.1,2195.0,105.85,52530.0,57275.0,22310.0,35416.0,38256.0,17329.0,10621.7,9909.4,712.3,48883.0,52721.0,24285.0,8.0,1.4,101.4,106.2,106.1,107.4,5081.26,6406.77,25669.1,27041.2,15406.5,9716.1,60.0,4784.8,14518.9,3526.5,3405.4,358.0,0.48000650856282795,17.254347978832378,82.26564551260479,2.567234424025101,23.692624587666227,123.19453302961276,6.900000000000006,0.36446469248291574
北京市,2017,29883.0,136172.0,106.8,121.9,5049.4,24711.7,124.3,3885.9,1210.9,2703.7,2420.5,470.4,12866.8,2194.0,102.65,57230.0,62406.0,24240.0,37425.0,40346.0,18810.0,11491.5,10724.0,767.5,52912.0,57100.0,26132.0,8.1,1.4,101.9,105.7,105.8,105.5,5430.79,6824.53,28014.9,29883.0,16842.1,10375.3,60.1,5350.6,16141.0,3911.5,3542.6,571.0,0.4079242378609912,16.89723254024027,82.69484322189874,2.5745049504950495,22.83749958170197,136.20328167730173,6.799999999999997,0.3691886964448496
北京市,2018,33106.0,150962.0,106.7,120.6,5477.4,27508.1,122.6,4139.9,1387.8,2824.1,2481.5,515.3,14667.6,2192.0,98.75,62361.0,67990.0,26490.0,39843.0,42926.0,20195.0,,,,,,,7.9,1.4,102.5,,,,5785.92,7471.43,,,,,,,,,,,0.36428331938826986,16.54498717758963,83.0907295030221,2.5666289165722915,22.56820515918565,151.0310218978102,6.700000000000003,0.3604014598540146
北京市,2019,35445.1,161776.0,106.1,114.4,5667.4,29663.4,116.9,4243.3,1477.4,2867.5,2603.8,538.1,16043.1,2190.0,101.56,67756.0,73849.0,28928.0,43038.0,46358.0,21881.0,,,,,,,7.4,1.3,102.3,,,,5817.1,7408.19,,,,,,,,,,,0.322751740715245,15.989188945188628,83.68805931409614,2.552855365044248,20.900462969493667,161.84977168949771,6.099999999999994,0.33789954337899547
吉林省,2013,9427.9,35139.0,108.5,1250.2,3572.1,4605.5,1286.6,2852.7,737.8,637.0,528.5,160.3,2075.7,2668.0,106.23,15998.0,21331.0,9781.0,12054.0,15941.0,7523.0,3762.0,2777.3,984.7,13676.0,18714.0,7773.0,22.6,3.7,102.9,112.6,110.6,116.9,1156.96,2744.81,13946.8,9427.9,5500.5,9751.5,39.4,1738.5,4351.3,1599.8,1127.5,-43.4,13.260781942765016,37.88900910074461,48.850208956490384,2.180860852673551,29.113694460060035,35.33695652173913,8.5,0.8470764617691156
吉林省,2014,9966.5,37539.0,106.3,1270.2,3804.9,4891.5,1308.2,3065.0,759.6,665.4,615.2,163.6,2195.2,2642.0,103.65,17520.0,23218.0,10780.0,13026.0,17156.0,8140.0,3759.9,2782.1,977.8,13663.0,18549.0,7810.0,23.2,3.4,102.0,105.5,105.6,103.6,1203.38,2913.25,14631.4,9966.5,5408.0,10372.7,37.0,1648.1,4400.4,1600.4,1159.9,-42.6,12.744566853289987,38.17650954186985,49.07892360484016,2.153803339517625,29.23042191340992,37.72331566994701,6.299999999999997,0.878122634367903
吉林省,2015,10018.0,38128.0,106.1,1270.6,3837.8,4909.6,1309.1,3090.7,767.0,666.7,618.6,168.7,2197.7,2613.0,102.02,18684.0,24901.0,11326.0,13764.0,17973.0,8783.0,4027.4,2934.1,1093.3,14630.0,19358.0,8837.0,23.9,3.5,101.7,107.7,105.2,113.0,1229.35,3217.1,15507.9,10018.0,5593.2,11001.2,36.1,1565.8,4683.3,1771.5,1199.0,-35.8,12.683170293471749,38.30904372130166,49.0077859852266,2.1985696627229383,32.113196246755834,38.33907386146192,6.099999999999994,0.9146574818216608
吉林省,2016,10427.0,40259.0,106.5,1130.1,3901.4,5395.5,1171.1,3148.2,773.5,704.9,673.4,178.1,2508.0,2567.0,103.41,19967.0,26530.0,12123.0,14773.0,19166.0,9521.0,3802.5,2768.6,1033.9,13786.0,18144.0,8390.0,25.7,3.5,101.6,103.4,102.6,104.8,1263.78,3586.09,14776.8,10427.0,5567.1,10185.7,37.7,1764.5,4836.3,1817.6,1239.9,-32.9,10.838208497170806,37.41632300757649,51.74546849525271,2.1884022106739254,34.392346791982355,40.61940007791196,6.5,1.0011686793922867
吉林省,2017,10922.0,42890.0,105.2,1095.4,3995.5,5831.2,1137.7,3235.2,781.1,717.8,711.8,181.1,2819.1,2526.0,102.42,21368.0,28319.0,12950.0,15632.0,20051.0,10279.0,4098.8,3009.8,1089.0,15083.0,19552.0,9244.0,26.3,3.5,101.6,106.2,105.6,105.9,1210.91,3725.72,14944.5,10922.0,5799.9,10013.9,38.8,1701.1,5067.5,1961.1,1260.7,-33.8,10.029206837512934,36.58179287865887,53.3890002838282,2.186795366795367,34.112067386925474,43.23832145684877,5.200000000000003,1.0411718131433096
吉林省,2018,11253.8,44925.0,104.4,1160.7,4051.5,6041.6,1205.0,3287.2,785.6,732.9,731.1,188.1,2963.5,2484.0,102.03,22798.0,30172.0,13748.0,17200.0,22394.0,10826.0,,,,,,,26.8,3.5,102.1,,,,1240.89,3789.59,,,,,,,,,,,10.313849544153976,36.001172937141234,53.6849775187048,2.194646494035496,33.67387015941282,45.30515297906602,4.400000000000006,1.0789049919484701
吉林省,2019,11726.8,47554.0,103.0,1287.3,4134.8,6304.7,1333.4,3347.8,808.6,759.1,778.8,192.6,3094.1,2448.0,101.94,24563.0,32299.0,14936.0,18075.0,23394.0,11457.0,,,,,,,23.9,3.1,103.0,,,,1116.95,3933.42,,,,,,,,,,,10.977419244806768,35.25940580550534,53.763174949687894,2.162493304767006,33.54214278405021,47.90359477124183,3.0,0.9763071895424836
四川省,2013,26518.0,32750.0,110.0,3257.4,12418.9,10841.7,3323.6,10309.0,2217.7,1831.4,918.4,645.9,5124.1,8109.0,104.02,14231.0,22228.0,8381.0,11055.0,16098.0,7365.0,10102.5,6502.9,3599.6,12485.0,17899.0,8074.0,42.9,4.1,102.8,108.7,105.4,111.4,2784.1,6220.91,26260.8,26518.0,13223.1,13081.7,50.4,3120.6,12464.0,3180.5,3070.9,412.9,12.283731804811826,46.831963194811074,40.884305000377104,2.652189476196158,23.459197526208612,32.701936120360095,10.0,0.5290418054014059
四川省,2014,28891.3,35563.0,108.5,3524.7,13082.7,12283.9,3598.7,10703.8,2494.8,2083.2,1308.0,706.0,5510.1,8139.0,98.23,15749.0,24234.0,9348.0,12368.0,17760.0,8301.0,11174.2,7156.1,4018.1,13755.0,19318.0,9092.0,54.4,4.2,101.6,108.4,106.6,110.0,3061.07,6796.61,28536.7,28891.3,14529.9,13990.6,50.9,3355.7,13593.9,3595.2,3303.3,435.9,12.199866395766197,45.2824898844981,42.517643719735695,2.5924261874197687,23.524763510122423,35.49735839783757,8.5,0.6683867797026661
四川省,2015,30342.0,37150.0,107.9,3661.0,13192.5,13488.6,3745.5,10735.0,2555.5,2360.0,1519.7,780.3,5825.8,8196.0,100.89,17221.0,26205.0,10247.0,13632.0,19277.0,9251.0,12073.4,7725.2,4348.2,14774.0,20114.0,10039.0,54.6,4.1,101.5,108.0,104.7,111.0,3355.44,7497.51,30053.1,30342.0,15775.0,14415.3,52.5,3701.5,14574.8,3721.0,3492.8,390.9,12.065743636729167,43.479192277396756,44.455064085874085,2.5573338538108716,24.710005932370972,37.020497803806734,7.900000000000006,0.6661786237188873
四川省,2016,33138.5,40297.0,107.8,3900.6,13450.1,15787.8,3991.9,10790.9,2757.8,2760.3,1878.6,852.9,6674.5,8251.0,99.73,18808.0,28335.0,11203.0,14839.0,20660.0,10192.0,13183.4,8475.4,4708.0,16013.0,21246.0,11094.0,56.3,4.2,101.9,107.3,104.2,110.2,3388.85,8008.89,32934.5,33138.5,17237.9,15800.5,52.3,4054.5,16066.6,4175.7,3644.9,364.8,11.770599152043696,40.58753413703094,47.641866710925356,2.529233241096135,24.167931559968014,40.163010544176466,7.799999999999997,0.6823415343594715
四川省,2017,37905.1,45835.0,108.1,4262.5,14569.2,19073.5,4365.3,11437.8,3235.9,3432.3,2602.6,934.0,7970.6,8289.0,101.93,20580.0,30727.0,12227.0,16180.0,21991.0,11397.0,14841.2,9518.1,5323.1,17920.0,22983.0,12856.0,55.8,4.0,101.4,108.6,105.8,110.9,3577.99,8694.76,36980.2,37905.1,19365.7,17689.3,52.4,4524.5,18513.4,4903.4,4094.3,331.8,11.24515897554953,38.43588742441671,50.31895360003378,2.5130449006297537,22.93823258611638,45.729400410182166,8.099999999999994,0.6731813246471227
四川省,2018,42902.1,51658.0,108.0,4427.4,16056.9,22417.7,4544.3,12360.1,3809.8,3835.5,3118.1,1043.2,9867.1,8321.0,98.67,22461.0,33216.0,13331.0,17664.0,23484.0,12723.0,,,,,,,53.3,3.5,101.7,,,,3911.01,9707.5,,,,,,,,,,,10.319798610787375,37.42692648361381,52.253274905598815,2.4916360363063537,22.62709750804739,51.5588270640548,8.0,0.6405480110563634
四川省,2019,46363.8,55619.0,107.4,4807.5,17187.9,24368.3,4938.0,13165.9,4150.3,4243.8,3269.1,1178.6,10843.3,8351.0,96.73,24703.0,36154.0,14670.0,19338.0,25367.0,14056.0,,,,,,,50.4,3.3,103.2,,,,4070.83,10348.17,,,,,,,,,,,10.369103414956097,37.07189029348392,52.559006291559996,2.4644853442399453,22.319503578222662,55.51886001676446,7.400000000000006,0.6035205364626991
天津市,2013,9945.4,71345.0,110.1,154.8,4407.1,5383.6,158.5,3814.7,625.0,1039.0,828.4,114.9,1491.5,1410.0,98.87,26359.0,28980.0,15353.0,20419.0,22306.0,12491.0,3788.7,3395.8,392.9,26261.0,28779.0,14954.0,21.7,3.6,103.1,106.7,105.6,113.2,2079.07,2549.21,14370.2,9945.4,5634.8,10438.8,39.2,1846.1,3904.5,1437.7,1485.3,607.9,1.5564828314313006,44.312503142124584,54.13101402644413,1.8875789747932,25.632050998451543,70.53475177304965,10.099999999999994,1.5390070921985815
天津市,2014,10640.6,74960.0,107.5,158.8,4615.5,5866.3,163.1,3972.4,677.3,1102.4,867.4,115.2,1706.4,1429.0,100.34,28832.0,31506.0,17014.0,22343.0,24290.0,13739.0,4258.1,3805.9,452.2,28492.0,31000.0,16949.0,22.5,3.5,101.9,106.9,106.1,112.2,2390.35,2884.7,15727.0,10640.6,6253.6,11338.0,39.8,1995.5,4184.7,1544.5,1558.6,686.4,1.4923970452794015,43.376313365787645,55.13128958893295,1.8517691313036324,27.110313328195772,74.46186144156754,7.5,1.5745276417074878
天津市,2015,10879.5,75868.0,106.9,162.3,4489.6,6227.6,167.3,3815.1,695.6,1146.3,926.8,116.6,1886.8,1439.0,120.43,31291.0,34101.0,18482.0,24162.0,26230.0,14739.0,4993.1,4457.9,535.2,32595.0,35290.0,19922.0,25.1,3.5,101.7,106.2,105.7,109.6,2667.11,3232.35,16538.2,10879.5,7155.7,10495.8,43.3,2162.5,4315.4,1584.7,1580.0,503.3,1.4917964980008274,41.26660232547452,57.24160117652466,1.8450925224542798,29.710464635323312,75.60458651841557,6.900000000000006,1.7442668519805422
天津市,2016,11477.2,79647.0,106.0,168.5,4368.0,6940.8,174.6,3773.0,710.8,1199.1,1080.3,123.0,2168.6,1443.0,114.39,34074.0,37110.0,20076.0,26129.0,28345.0,15912.0,5636.3,5042.4,593.9,36257.0,39181.0,22194.0,25.8,3.5,102.1,106.9,106.4,109.3,2723.5,3699.43,17885.4,11477.2,8012.0,10113.9,44.8,2375.8,4578.2,1715.3,1658.7,470.2,1.468115323290321,38.05773134796512,60.47415332874457,1.8484757919904364,32.23286167357892,79.53707553707554,6.0,1.787941787941788
